19.92355  2.11707
19.28135  1.98049
18.74618  1.66829
18.42508  1.33659
18.10398  0.98537
17.24771  0.67317
16.49847  0.79024
15.85627  0.88780
15.32110  0.84878
14.89297  0.80976
14.25076  0.88780
13.50153  1.00488
13.07339  0.88780
12.53823  0.69268
11.89602  0.80976
11.25382  0.94634
10.71865  0.92683
10.07645  1.02439
9.75535  1.18049
9.22018  1.21951
8.57798  1.33659
8.25688  1.39512
7.82875  1.31707
7.29358  1.06341
6.86544  0.84878
6.43731  0.67317
5.79511  0.84878
5.36697  1.12195
4.93884  1.43415
4.08257  1.60976
3.44037  1.45366
3.01223  1.25854
2.58410  1.10244
2.37003  0.94634
1.94190  0.79024
1.51376  0.98537
1.29969  1.37561
1.08563  1.74634
0.65749  2.07805
0.12232  1.78537
-0.30581  1.49268
-0.84098  1.21951
-1.26911  1.25854
-1.80428  1.10244
-2.76758  0.90732
-3.40979  0.47805
-4.05199  0.04878
-4.90826  -0.22439
-5.33639  -0.24390
-5.97859  -0.36098
-6.40673  -0.30244
-7.26300  -0.55610
-7.69113  -0.90732
-8.22630  -1.27805
-8.54740  -1.60976
-8.97554  -1.60976
-9.40367  -1.51220
-9.83180  -1.45366
-10.58104  -1.35610
-11.11621  -1.14146
-11.43731  -1.08293
-11.97248  -1.10244
-12.18654  -1.16098
-12.61468  -1.12195
-13.04281  -1.02439
-13.36391  -0.90732
-14.11315  -0.69268
-14.75535  -0.55610
-15.39755  -0.49756
-16.36086  -0.43902
-17.96636  -0.32195
-19.14373  -0.20488
-20.74924  -0.08780
-22.88991  -0.02927
-25.13761  0.00976
