19.92355  1.59024
19.28135  1.55122
18.74618  1.46341
18.42508  1.36585
18.10398  1.21951
17.24771  1.00488
16.49847  0.89756
15.85627  0.84878
15.32110  0.80976
14.89297  0.84878
14.25076  0.88780
13.50153  0.96585
13.07339  0.98537
12.53823  0.92683
11.89602  0.90732
11.25382  0.99512
10.71865  0.98537
10.07645  1.02439
9.75535  1.08293
9.22018  1.36585
8.57798  1.49268
8.25688  1.45366
7.82875  1.43415
7.29358  1.38537
6.86544  1.34634
6.43731  1.48293
5.79511  2.05854
5.36697  2.19512
4.93884  2.01951
4.08257  1.60976
3.44037  1.32683
3.01223  1.18049
2.58410  1.08293
2.37003  1.01463
1.94190  1.15122
1.51376  1.41463
1.29969  1.58049
1.08563  1.77561
0.65749  2.01951
0.12232  1.98049
-0.30581  1.82439
-0.84098  1.55122
-1.26911  1.35610
-1.80428  1.08293
-2.76758  0.54634
-3.40979  -0.01951
-4.05199  -0.36098
-4.90826  -0.32195
-5.33639  -0.40976
-5.97859  -0.62439
-6.40673  -0.75122
-7.26300  -0.79024
-7.69113  -0.86829
-8.22630  -1.06341
-8.54740  -1.19024
-8.97554  -1.18049
-9.40367  -1.11220
-9.83180  -1.09268
-10.58104  -1.04390
-11.11621  -0.97561
-11.43731  -0.95610
-11.97248  -0.89756
-12.18654  -0.84878
-12.61468  -0.80976
-13.04281  -0.75122
-13.36391  -0.70244
-14.11315  -0.59512
-14.75535  -0.48780
-15.39755  -0.39024
-16.36086  -0.32195
-17.96636  -0.23415
-19.14373  -0.20488
-20.74924  -0.15610
-22.88991  -0.07805
-25.13761  0.00976
